age,monthly_income,savings,investment_amount,risk_level,account_balance,market_volatility_index,interest_rate,inflation_rate,stock_index_change,recommendations
38,110787,6500,2700,2,19199.83,25.77,3.83,1.08,-1.04,Real Estate
22,167993,32900,25700,1,16579.2,24.9,4.38,3.16,0.01,Index Funds
25,38307,19000,12900,1,9288.34,14.33,2.05,2.78,0.76,ETFs
36,163427,69100,37300,2,13576.91,37.61,2.03,2.69,-1.93,Crypto
38,132016,46500,31200,1,12143.87,23.22,4.55,2.69,-0.26,ETFs
42,9835,50800,26900,1,16115.59,39.84,0.72,1.16,-0.76,ETFs
38,25159,31500,21400,0,8986.43,22.6,2.08,1.76,3.05,Gold
33,183677,4000,3100,1,3295.21,28.24,1.03,1.71,-2.07,Index Funds
31,126790,9400,3400,1,22762.66,13.14,0.63,5.94,-1.14,Index Funds
46,110616,17400,7500,0,6440.58,23.63,1.01,1.11,0.05,Fixed Deposit
28,174160,26100,19300,1,7170.51,17.16,2.44,1.84,-1.13,ETFs
41,83752,42200,17700,1,11347.01,35.07,3.59,5.87,1.7,Index Funds
31,60284,16300,7300,2,7071.99,33.52,1.8,4.14,-1.53,Stocks
26,62043,58000,24400,1,5387.82,34.73,4.32,3.25,-1.37,Index Funds
46,171619,39800,27500,0,10141.46,31.71,2.47,1.39,1.83,Fixed Deposit
41,102007,79900,27200,2,5320.43,34.98,4.86,4.35,-1.79,Real Estate
47,87844,19500,8400,1,11878.25,16.02,4.79,1.69,1.25,Index Funds
20,32532,5100,1700,1,9132.91,23.56,3.98,4.36,-0.68,Mutual Funds
31,170421,44300,16400,1,10814.16,30.76,4.7,5.9,-0.93,Mutual Funds
49,127402,69100,40100,0,11552.12,29.12,3.68,3.66,-0.76,Fixed Deposit
44,123012,20000,8000,1,9927.05,31.49,4.53,2.07,-1.68,ETFs
23,181517,43300,26800,0,10057.53,16.73,1.56,4.13,1.36,Fixed Deposit
27,141785,43800,15300,0,11186.53,12.95,2.05,3.56,0.2,Gold
28,61178,41900,22600,1,12667.0,37.5,3.89,3.67,1.34,Index Funds
19,54407,82100,52500,1,11864.36,26.81,2.41,3.39,1.76,Index Funds
35,55990,20200,10300,1,14184.77,14.61,4.27,4.37,0.81,ETFs
25,134473,80400,60300,2,8852.06,33.8,4.45,3.86,-2.18,Crypto
40,63141,25000,18500,2,8807.31,37.45,1.85,5.93,-1.45,Real Estate
46,159865,2000,1400,1,21054.7,15.09,4.21,5.13,1.28,ETFs
40,61570,5100,3800,1,7653.57,34.52,1.19,2.32,0.08,Index Funds
50,173964,36200,18800,1,3846.34,38.0,2.0,4.63,0.98,Index Funds
24,6015,48600,35000,1,10014.91,38.15,2.83,2.07,-0.13,ETFs
22,66813,25300,19700,1,6145.54,37.42,1.52,4.91,-0.64,ETFs
45,32712,21400,13700,2,9096.52,26.39,3.11,1.74,0.98,Stocks
18,105497,57400,20700,2,15764.5,20.69,3.1,3.37,-2.59,Stocks
42,144487,5300,2200,0,8412.85,10.22,1.43,4.95,-0.48,Bonds
34,117816,12600,7300,0,5421.31,11.83,4.08,2.4,0.1,Bonds
23,133778,25900,10900,1,23049.72,22.87,3.34,5.19,0.31,Mutual Funds
40,67292,35900,11100,1,15727.28,21.98,1.93,4.22,-1.94,Mutual Funds
28,28833,40800,30200,2,7138.18,15.54,1.54,2.99,-1.88,Real Estate
48,140230,20200,14300,0,5977.77,21.86,4.45,3.12,-0.59,Gold
25,198752,6700,3400,0,13742.41,15.24,4.26,5.63,-0.09,Gold
31,25309,14100,5100,2,19452.01,35.46,1.53,2.09,2.33,Crypto
48,11970,53300,39400,2,11642.08,18.95,0.66,4.47,-1.32,Stocks
23,77474,23900,16700,1,14591.54,27.96,4.12,4.54,-0.74,ETFs
23,51540,38100,13000,0,10751.81,25.09,3.27,5.61,2.39,Bonds
37,156456,28000,15700,1,4991.42,11.56,0.95,4.57,1.6,ETFs
29,23017,3600,1300,2,12506.47,38.27,3.14,3.92,-1.67,Stocks
20,80880,76300,25200,0,5429.85,25.82,2.53,5.51,1.01,Bonds
37,110570,3700,1300,1,21306.04,19.75,3.99,5.15,1.25,Index Funds
45,13702,8700,6400,0,10573.57,14.74,1.44,4.58,0.29,Fixed Deposit
39,136456,22900,16300,2,3844.57,20.16,2.54,1.16,-1.76,Crypto
26,5404,3800,2800,0,8179.75,10.62,1.2,2.87,-0.89,Bonds
20,177015,30700,21200,0,8357.64,20.91,4.81,4.16,-0.94,Bonds
19,183998,27100,14400,0,7119.26,25.94,4.0,3.61,0.79,Gold
40,165261,25400,8900,1,13960.07,36.16,3.82,2.6,-0.64,Mutual Funds
31,17763,55000,38500,0,5994.81,30.62,3.61,1.72,-0.4,Fixed Deposit
30,154456,14600,8500,1,15583.82,13.35,2.41,3.76,-0.9,Index Funds
39,196172,23500,12700,1,1863.25,14.43,4.65,2.43,-2.34,ETFs
19,103142,10700,4400,0,15466.29,22.84,0.83,2.17,3.89,Fixed Deposit
24,145932,20400,10800,0,14403.75,15.87,4.11,2.99,0.6,Fixed Deposit
33,85642,6700,4600,0,11935.25,10.84,1.47,4.93,2.21,Gold
42,55612,38300,13400,2,8482.09,34.15,1.96,3.44,-1.67,Real Estate
42,28574,4600,3600,0,15060.32,10.59,2.84,2.08,2.28,Bonds
40,28524,12000,4200,2,10115.17,34.92,4.02,1.58,-0.59,Stocks
49,15916,11000,8400,0,1693.98,14.32,4.27,3.49,0.8,Fixed Deposit
35,9809,11300,5700,1,16717.57,39.24,3.13,4.97,1.49,ETFs
30,168273,17800,5500,1,2092.16,28.12,2.31,4.26,2.27,ETFs
18,189402,23000,17300,0,14554.07,32.05,4.76,2.16,-0.07,Gold
30,149528,34700,22200,1,10005.71,13.31,1.61,3.18,-1.51,ETFs
28,192469,82900,29800,1,12285.03,35.86,4.11,5.28,-0.02,Mutual Funds
20,126288,19000,10300,1,11841.63,35.18,3.25,1.89,0.89,Index Funds
25,43765,17800,8400,2,13393.75,29.59,2.2,3.66,-0.8,Stocks
41,170888,26600,8500,2,17469.63,25.07,0.51,2.78,-0.63,Crypto
34,50106,39100,21500,1,3158.36,31.64,2.51,1.62,-2.32,Index Funds
32,58932,46400,27800,2,8493.69,10.18,1.75,1.25,-1.47,Crypto
41,153172,13200,8100,1,6502.7,27.77,0.97,3.78,0.67,Mutual Funds
42,62091,10500,4700,0,14234.85,35.42,0.84,1.1,1.32,Fixed Deposit
35,26949,76600,53600,1,15184.72,20.71,2.06,1.52,1.65,ETFs
26,42744,39300,28700,1,5408.27,13.25,3.27,2.74,3.41,Index Funds
41,181615,40900,25400,1,4262.1,22.63,4.27,1.22,2.23,ETFs
28,113319,16000,11800,1,13091.23,31.81,1.33,3.0,-0.23,Mutual Funds
21,97193,15000,5100,2,5606.58,13.22,2.41,1.65,-1.4,Stocks
18,41187,49900,35900,0,13874.09,16.18,2.26,2.75,-0.38,Gold
36,143311,35200,14100,0,9861.49,14.43,2.81,4.96,-0.83,Fixed Deposit
23,129454,15000,8300,0,6957.19,33.91,4.14,4.13,0.25,Fixed Deposit
46,19489,19100,9400,0,13082.38,11.89,2.99,3.23,1.34,Fixed Deposit
43,194089,60800,22500,2,16130.6,30.6,4.31,1.46,0.72,Crypto
29,66877,4300,2600,0,19622.13,20.99,2.83,4.1,2.36,Bonds
28,179197,5900,4700,0,14328.43,32.67,3.22,1.82,0.59,Gold
44,54922,25200,18100,2,4085.41,38.93,2.47,1.38,-1.91,Real Estate
46,99074,4600,3700,1,10531.11,13.44,4.2,4.32,-0.85,Mutual Funds
40,168121,75800,59900,1,15110.52,19.43,4.66,5.56,0.6,Mutual Funds
41,42131,6500,5100,0,15281.67,34.3,3.38,3.3,0.34,Bonds
40,179016,8400,4300,1,4169.74,17.98,4.19,1.2,1.96,Index Funds
23,120765,31100,14300,1,14154.66,16.45,0.77,5.4,0.01,Index Funds
36,78963,47700,26200,1,14749.37,34.76,4.58,1.33,-0.26,ETFs
30,111884,62200,38600,1,4890.89,39.61,1.35,5.34,-2.36,Mutual Funds
34,130917,10700,4900,2,13927.18,26.71,1.65,2.96,-1.21,Crypto
31,29285,26000,12500,0,11484.36,18.34,0.74,2.83,0.46,Bonds
45,42626,7100,3100,1,15185.67,21.96,4.84,3.71,0.31,Index Funds
25,178880,38600,16600,1,11058.87,15.1,4.33,5.79,0.89,Mutual Funds
19,189943,8800,4500,1,11730.27,32.86,4.61,5.49,0.68,Index Funds
26,24198,19500,8000,1,5447.24,33.2,4.31,3.35,-0.17,Mutual Funds
45,155830,51700,16500,2,9848.43,36.25,2.66,4.48,-1.5,Crypto
41,20254,37900,25400,0,12236.18,10.8,4.66,3.9,0.0,Bonds
37,49238,26600,16500,0,3566.43,26.86,4.86,4.47,-0.07,Bonds
45,6252,3400,1600,0,9259.22,16.43,2.76,5.15,2.06,Fixed Deposit
44,44764,5800,3500,1,8519.66,20.23,1.29,1.17,1.99,Index Funds
33,82709,13400,9900,1,5711.19,33.55,3.46,2.63,-0.72,ETFs
48,173513,47400,16600,1,13309.47,15.76,4.89,5.8,-0.93,Index Funds
24,58682,8400,6300,1,5491.45,29.15,4.42,5.75,-2.03,Index Funds
30,64494,53400,29400,1,16544.18,29.64,4.38,1.06,-0.25,Mutual Funds
40,86317,33700,19200,1,9085.55,38.62,4.7,2.01,-0.71,Mutual Funds
24,70215,34600,14900,1,8104.88,33.25,4.52,5.97,3.91,ETFs
48,83587,33200,17600,1,3432.19,34.11,3.99,3.46,-1.67,ETFs
20,11949,4500,3100,1,7600.72,25.95,3.73,3.86,0.09,Mutual Funds
37,60393,17600,6000,0,7176.52,15.6,1.69,1.83,-0.96,Fixed Deposit
25,143013,19700,7500,0,20864.29,22.77,3.3,5.47,0.04,Bonds
28,30934,1800,900,1,14581.04,26.48,2.85,2.16,-0.5,ETFs
33,159458,4400,1500,1,9452.4,30.35,4.38,1.95,1.22,Index Funds
40,197958,14700,5300,0,1991.01,28.23,2.71,2.14,0.66,Bonds
21,80745,52900,24900,1,11725.91,21.82,1.07,5.6,1.17,Index Funds
26,99456,2200,1000,1,8318.92,17.96,0.52,4.51,-1.13,ETFs
47,58413,3600,2400,0,2946.69,15.05,3.55,4.84,1.62,Gold
21,192872,4300,2500,0,6813.81,30.82,2.97,2.89,-0.72,Bonds
26,102239,75100,30800,2,4894.98,29.36,1.99,5.55,-2.11,Crypto
21,47318,16400,7200,1,9729.81,30.62,1.26,4.95,-0.27,ETFs
37,75390,2900,1700,1,2203.44,21.18,2.6,4.75,0.17,Mutual Funds
42,188401,41100,20100,2,1987.44,17.87,0.95,5.85,-1.87,Real Estate
29,48088,27100,20600,1,11258.75,32.79,2.01,2.83,1.31,ETFs
42,108196,41300,12400,2,3753.28,33.21,2.21,4.05,-1.22,Real Estate
50,175883,45100,35200,2,8214.41,23.67,2.6,5.55,-1.28,Crypto
24,60479,42800,24000,1,9696.72,28.36,2.6,4.95,0.0,Index Funds
27,24963,37900,22700,0,3477.74,21.21,1.66,3.82,1.29,Bonds
44,60123,20000,6600,2,11650.46,31.06,4.33,1.38,-1.82,Real Estate
37,130911,72300,41900,2,11874.41,35.07,2.1,4.26,1.41,Stocks
35,107468,38500,20400,2,9482.3,30.65,1.53,3.63,-3.24,Real Estate
40,78477,8900,5200,1,2222.04,25.38,1.29,1.92,0.5,ETFs
22,19388,61200,34900,2,8250.9,23.76,1.95,5.41,-1.69,Crypto
25,10569,20200,6100,2,12434.39,29.27,0.8,2.72,-1.2,Real Estate
37,74836,17100,7200,0,3946.99,30.39,0.65,2.94,2.61,Bonds
44,109573,8000,4100,1,3439.71,26.76,3.22,4.36,-1.48,Index Funds
47,172658,18500,7200,2,20123.9,28.75,3.29,3.44,-0.08,Crypto
28,148087,35800,20000,2,5119.81,12.9,2.88,1.45,-1.6,Crypto
50,50002,17700,12900,1,4261.13,38.55,3.93,2.94,1.15,Mutual Funds
39,142326,30600,16200,0,16735.0,33.72,0.68,1.47,0.61,Fixed Deposit
42,153216,14000,7400,0,12897.34,21.22,4.71,1.95,0.82,Bonds
29,160286,44800,14300,1,7111.06,26.88,0.93,1.04,1.7,ETFs
31,142162,24300,15100,0,17337.76,11.42,3.53,1.91,-0.51,Fixed Deposit
42,147709,63100,23300,1,6644.07,11.24,1.1,2.65,1.61,ETFs
35,158487,2200,800,0,3116.73,17.52,4.46,3.69,2.23,Gold
27,29071,75900,26600,1,10351.82,30.69,2.8,5.6,0.43,Mutual Funds
46,63243,34200,20200,2,3788.05,35.56,0.87,3.7,-1.66,Real Estate
27,130827,64100,38500,2,7124.05,26.78,3.28,4.53,-1.81,Real Estate
18,113215,43300,22900,0,15887.7,25.96,0.54,2.79,0.66,Fixed Deposit
40,177312,40200,30600,2,15394.19,22.07,3.99,4.76,-1.66,Real Estate
26,106570,7000,3600,1,10663.22,14.85,3.43,4.1,-2.02,Mutual Funds
41,169506,1500,1100,1,10856.36,13.55,1.46,3.3,1.33,Mutual Funds
30,74724,62200,41100,0,9022.72,32.82,2.19,1.97,-0.69,Fixed Deposit
36,120359,6600,2700,0,13897.57,37.83,0.54,2.52,3.63,Bonds
50,80697,27000,14300,0,5915.2,23.75,3.62,4.1,-0.99,Bonds
41,33732,20500,11700,1,1634.41,29.78,1.95,3.13,-0.75,Mutual Funds
23,126465,11800,9300,0,4454.26,37.43,3.07,5.45,0.54,Fixed Deposit
33,147386,57900,29000,1,7549.64,12.7,4.81,2.17,0.31,ETFs
34,160026,18000,10100,1,5519.23,33.11,1.85,1.37,-0.13,ETFs
27,62108,53900,31800,1,13964.32,28.5,4.96,3.95,-0.16,ETFs
37,116195,40200,21300,0,10593.26,27.96,3.35,5.43,4.86,Fixed Deposit
38,108081,45700,24700,1,5864.43,18.78,1.59,2.82,2.49,Mutual Funds
27,41668,14400,10900,0,8534.75,30.52,2.47,4.24,1.27,Gold
32,28061,5500,4400,2,2602.09,33.84,3.83,2.16,-1.84,Real Estate
46,84252,7700,3600,0,14807.29,13.39,2.51,3.79,-0.11,Bonds
18,44749,5700,3400,1,14248.27,26.01,0.81,4.93,0.99,Mutual Funds
35,135560,57100,27400,1,14768.2,13.04,1.26,5.34,1.12,Index Funds
26,109680,20000,14800,1,14971.35,36.18,4.06,1.53,1.92,ETFs
38,152979,74000,52500,0,4675.19,25.23,3.42,2.78,-0.96,Bonds
50,154849,3900,2600,0,2797.76,34.24,3.06,4.2,-0.06,Gold
34,56745,31200,15000,1,17863.97,21.04,1.25,1.17,-1.13,Index Funds
23,113464,48700,19000,0,15147.84,13.75,4.27,4.45,2.0,Bonds
39,96865,2300,1600,0,5011.23,11.24,4.82,3.64,1.05,Fixed Deposit
22,117428,26300,12900,1,1430.37,18.45,0.68,2.44,-0.76,ETFs
30,28624,79600,63700,0,19688.04,17.33,0.85,5.07,0.34,Fixed Deposit
41,28321,5800,3700,0,2210.19,26.81,4.48,2.45,0.08,Fixed Deposit
40,146560,11800,6700,2,13685.4,10.65,4.17,5.96,-1.32,Stocks
26,27574,59300,34400,1,10441.64,25.62,3.28,5.08,1.4,ETFs
49,141312,8600,5500,0,4580.53,21.75,4.75,4.54,0.12,Bonds
23,179293,43800,32900,2,7659.63,27.31,3.41,1.31,-0.79,Stocks
46,146550,68300,54000,1,12947.89,31.07,1.47,5.52,-1.35,Index Funds
26,191717,5600,1800,1,10812.77,29.02,3.78,4.95,1.28,Index Funds
26,155334,75500,52900,1,22112.92,39.54,3.41,2.15,0.4,Mutual Funds
25,123831,4600,2300,1,6547.27,14.15,4.94,2.96,-1.04,Mutual Funds
40,188868,38400,26500,0,1642.39,22.89,1.46,2.34,-0.75,Gold
48,140504,18900,14000,1,19968.58,22.74,3.19,5.92,0.01,Index Funds
43,100257,24500,7400,0,9444.54,22.51,4.01,5.27,0.1,Bonds
37,69291,17700,6200,0,5607.84,29.91,2.03,5.65,0.29,Gold
43,195471,12000,9100,2,13527.12,24.69,2.21,4.94,-2.65,Crypto
38,132600,30900,24100,0,3976.8,25.52,4.5,3.28,0.18,Bonds
48,55428,32900,13500,2,5262.2,22.97,2.32,2.03,-1.83,Crypto
20,136374,19500,8600,1,4148.43,39.75,3.31,2.04,2.13,Mutual Funds
41,136127,88000,31700,1,7726.48,37.83,4.5,1.76,1.56,Index Funds
25,116317,9600,4600,1,13576.16,19.23,1.44,3.73,1.74,Index Funds
32,144789,11300,8500,2,10861.16,13.35,4.92,5.6,-3.69,Crypto
38,132449,41300,18200,1,12513.61,35.19,3.66,5.96,-0.45,Index Funds
35,33699,24400,15900,1,18250.21,39.92,2.73,2.44,-0.12,ETFs
30,78686,14300,8300,1,3117.54,18.78,2.44,4.49,0.86,Mutual Funds
39,72661,49100,16700,1,1635.09,20.73,4.79,3.99,1.35,ETFs
50,49247,26600,19700,0,4164.21,38.25,1.43,3.44,1.93,Fixed Deposit
22,152820,73400,22800,1,2675.46,31.33,1.9,4.33,-3.47,ETFs
49,110113,2600,1800,2,11227.62,18.87,1.89,2.86,-1.2,Crypto
34,9621,17500,6000,2,19628.5,27.43,1.8,5.72,0.09,Crypto
44,151106,15000,10800,0,13024.84,38.33,2.61,4.53,1.24,Bonds
38,141198,31200,20000,1,4511.35,34.35,4.95,4.77,1.2,Index Funds
28,141194,81000,64000,1,5051.12,32.25,4.5,2.21,0.71,Mutual Funds
29,23030,72000,54700,0,7973.97,32.11,1.98,1.84,-0.96,Bonds
36,87838,67200,43000,1,6161.24,15.34,2.4,2.97,-0.76,Mutual Funds
32,89717,54200,39600,1,10892.79,34.74,3.51,4.83,-0.94,Index Funds
46,191730,38400,28000,1,15180.45,18.28,0.58,5.69,-1.47,Index Funds
21,43638,2100,1400,2,13209.81,37.91,4.19,3.14,-1.49,Real Estate
33,72067,34000,23800,2,20218.69,20.94,4.46,4.87,-1.64,Real Estate
38,123033,60700,27300,1,8685.69,35.73,4.36,3.35,0.5,ETFs
41,110977,38100,16400,1,4005.06,17.99,2.19,2.48,0.19,Mutual Funds
26,93869,19400,5800,2,10074.02,25.44,2.58,4.7,-1.39,Real Estate
35,110186,1000,600,1,11582.0,13.21,0.56,4.99,-2.57,Index Funds
23,39674,12200,5100,1,6735.36,29.8,2.3,2.01,-0.55,Mutual Funds
49,171926,21900,15300,1,10659.67,35.08,2.57,2.53,2.22,Mutual Funds
24,51271,54000,30200,1,13462.09,31.55,4.58,3.47,0.01,Index Funds
33,78688,15700,10700,0,6140.39,25.7,4.52,1.93,1.2,Gold
34,174590,74800,25400,0,6774.73,11.35,4.85,5.64,0.27,Fixed Deposit
42,116076,46800,32800,1,14568.22,38.0,4.48,3.96,-0.09,ETFs
45,146339,1200,700,1,14376.91,31.16,0.54,1.61,-2.21,ETFs
28,6062,14600,11200,0,12704.56,32.38,3.39,1.92,-0.61,Bonds
35,55448,16100,11100,0,5562.84,33.84,0.81,5.77,-0.8,Fixed Deposit
45,100462,62000,40300,0,14530.96,32.43,1.73,4.69,2.22,Fixed Deposit
42,142301,44900,27400,0,3098.35,23.23,3.1,4.67,0.27,Fixed Deposit
18,192865,3700,2500,1,11358.05,32.01,3.65,1.36,1.92,Mutual Funds
48,52915,77200,48600,0,2573.99,28.75,3.45,5.48,1.69,Fixed Deposit
44,9632,38400,23400,2,11291.3,35.62,0.72,3.22,-1.27,Stocks
35,109592,25900,20200,0,5098.11,34.07,0.97,4.3,0.0,Bonds
21,139668,18800,11800,1,7855.09,11.24,1.08,5.8,2.53,ETFs
32,114779,70400,41500,1,5756.7,21.37,0.91,1.5,0.84,ETFs
21,142240,60100,46300,1,5706.33,11.04,1.3,3.41,0.75,Mutual Funds
35,113099,28700,8900,0,11095.6,13.06,3.6,1.25,1.37,Gold
47,12561,18500,10700,0,14732.98,28.04,4.24,3.5,0.72,Fixed Deposit
31,87152,32900,11800,1,15614.02,36.21,2.34,2.26,0.82,ETFs
44,130036,39800,29100,0,5085.69,13.59,3.62,5.56,0.45,Fixed Deposit
42,129049,85300,40900,1,12089.28,23.53,1.4,2.99,-0.51,ETFs
32,31734,66800,35400,2,11093.51,37.33,4.88,4.17,-1.59,Crypto
20,142443,93200,40100,1,6192.7,34.43,2.07,5.3,-2.79,Mutual Funds
18,31069,20700,16100,0,2660.81,25.59,4.31,5.92,-0.49,Gold
40,17910,54300,40700,0,10713.27,33.15,4.75,3.52,0.65,Fixed Deposit
37,78479,16300,7000,1,16074.91,25.68,4.39,3.28,0.36,Mutual Funds
41,86264,67300,24900,1,11327.83,14.74,0.8,1.38,0.95,ETFs
38,28275,52400,32500,1,8981.11,13.74,3.43,1.06,-0.19,ETFs
27,77274,2400,1800,1,14199.59,15.65,1.04,4.04,4.08,ETFs
38,105776,18500,7800,1,5134.39,20.53,0.53,1.33,3.04,Index Funds
27,196076,28900,21700,2,12547.92,37.92,0.73,2.9,-2.28,Stocks
50,199053,29600,23700,1,13142.13,33.99,4.62,1.02,0.98,Index Funds
23,190625,6800,3700,1,4498.82,22.98,4.59,4.08,1.45,Mutual Funds
26,53447,13400,8200,1,14104.34,24.79,1.52,3.13,-3.18,Mutual Funds
42,170601,20400,13300,1,8799.07,17.97,2.96,1.64,0.25,Index Funds
38,131394,28500,10000,2,24169.6,31.13,4.8,2.48,0.78,Crypto
33,80703,18400,10900,1,13128.35,34.08,2.74,3.85,-0.01,Index Funds
33,81090,23900,19100,0,5123.52,17.17,2.27,4.28,0.58,Bonds
35,22260,59700,31600,0,5732.41,11.25,2.67,3.31,0.12,Fixed Deposit
33,117581,58600,22900,1,12964.27,28.72,4.06,5.02,1.05,Index Funds
21,8812,17100,6500,0,3368.79,26.88,2.65,1.56,2.32,Fixed Deposit
32,164096,46200,36500,0,10580.45,22.06,4.02,1.42,1.16,Gold
21,194728,20500,10500,2,16248.3,29.32,2.44,1.22,1.76,Stocks
34,121148,17400,6800,1,13466.53,26.52,1.63,3.68,-1.59,Mutual Funds
26,163357,64800,39500,0,1468.71,17.52,1.97,4.53,3.04,Fixed Deposit
18,121421,48300,37200,0,10105.2,21.93,0.85,1.65,0.47,Gold
37,6605,64800,45400,0,3912.43,22.84,2.74,4.19,-0.59,Bonds
25,77303,42500,33200,1,11259.55,36.41,1.17,3.38,0.62,Mutual Funds
27,163211,45900,24300,0,1610.78,38.83,4.15,5.94,-0.82,Gold
46,192210,27700,20500,1,15088.46,36.79,2.39,4.59,0.21,Index Funds
37,81125,66300,48400,1,12570.97,31.58,3.94,4.29,0.45,Mutual Funds
36,149990,3200,2000,1,11277.86,27.55,4.8,3.85,-1.03,Index Funds
49,163518,15600,10600,0,7878.85,30.68,4.32,5.99,0.23,Fixed Deposit
26,129040,3400,1600,2,9103.81,38.17,4.78,5.9,-1.05,Real Estate
36,149118,28600,21700,2,6718.45,17.5,3.06,3.69,-1.06,Stocks
23,160890,17000,7800,1,13354.29,26.05,1.24,3.28,-1.52,ETFs
37,9324,33800,26700,1,14636.78,30.69,4.71,3.31,-0.56,Index Funds
45,81323,5300,1800,1,1311.82,30.38,4.41,3.14,-0.83,Mutual Funds
44,14111,32500,20800,1,10853.33,17.57,4.39,3.66,0.71,Mutual Funds
50,174182,2800,1800,0,11908.0,27.6,3.62,2.37,1.64,Fixed Deposit
48,21389,13100,10100,1,11470.63,33.88,3.31,5.63,0.99,ETFs
33,127177,73500,37500,0,8394.18,24.25,0.57,3.45,1.46,Fixed Deposit
37,46427,65800,23700,0,5210.03,33.8,3.87,5.21,1.33,Bonds
18,164818,51300,26200,2,4185.55,20.8,0.91,3.38,-1.39,Real Estate
38,127883,16800,10400,2,21290.62,38.16,1.67,4.59,-0.5,Crypto
21,136189,3900,2400,1,7629.13,26.02,2.98,2.68,2.67,Mutual Funds
45,130808,45600,13700,2,13527.63,27.88,2.53,4.12,-0.82,Stocks
28,117221,23400,16400,1,14916.76,10.94,0.57,3.49,2.78,Mutual Funds
50,18234,9200,6400,0,11191.07,15.11,4.21,2.84,-0.63,Fixed Deposit
25,58441,17500,13100,2,14304.45,28.99,4.45,5.41,-3.07,Crypto
37,5846,23800,18100,0,15947.25,22.6,3.57,1.56,-0.37,Bonds
38,15954,34500,26900,1,4141.3,25.24,2.93,3.43,1.27,Mutual Funds
37,84239,5300,2700,1,20813.49,11.89,4.82,1.97,2.5,ETFs
32,51514,73700,31700,1,8753.89,35.02,1.04,5.31,-2.22,Index Funds
42,93236,53400,32600,1,4654.0,33.54,3.82,2.27,1.24,ETFs
42,102579,7900,2600,0,6208.19,15.56,1.08,4.17,1.34,Bonds
18,142541,1600,700,0,2056.37,29.03,2.22,1.83,1.95,Gold
21,166177,7800,5300,1,9155.43,34.55,3.13,3.02,-4.01,ETFs
19,47101,17700,13300,1,13165.52,29.23,3.82,5.5,2.49,Index Funds
45,69323,31800,21000,1,21670.79,19.31,0.52,1.83,0.66,ETFs
29,96922,3500,1500,2,23794.06,29.68,1.67,4.32,0.69,Real Estate
25,194139,28700,14400,0,3785.63,16.31,2.92,2.02,1.56,Bonds
37,185448,10800,5700,1,7420.06,19.55,2.9,3.08,-3.01,Mutual Funds
30,181659,1800,800,0,6122.71,17.2,3.37,3.7,1.52,Fixed Deposit
35,173048,33500,25100,0,14079.29,26.71,1.87,3.89,3.56,Fixed Deposit
27,132534,21700,14800,2,5918.38,13.25,2.93,4.01,-2.05,Real Estate
27,72584,60200,39700,0,11038.26,38.0,1.35,4.2,-0.1,Gold
48,109537,31900,9600,1,17867.83,20.01,1.34,2.36,0.06,ETFs
49,83477,58300,32600,1,8388.2,16.57,3.09,3.01,0.53,Mutual Funds
28,47533,1100,500,0,6518.34,24.9,3.58,1.19,0.64,Fixed Deposit
24,6828,16600,8800,2,15562.51,18.31,1.04,4.84,-1.01,Crypto
35,6917,68100,34700,0,14729.82,26.05,1.05,5.19,0.06,Fixed Deposit
33,25618,13300,8000,1,11889.23,20.46,3.04,2.0,2.62,ETFs
33,37254,67100,49000,1,10631.56,13.96,1.72,2.01,0.61,ETFs
24,110292,49700,27800,1,16432.82,17.98,2.27,1.21,0.55,ETFs
19,52362,21200,12100,1,9114.98,23.15,2.3,5.85,-1.07,ETFs
26,25128,22900,12400,0,7917.13,10.91,1.3,5.04,2.01,Gold
38,128781,14000,7400,0,3856.88,33.12,0.51,2.8,-0.33,Bonds
46,195455,20300,11400,1,9165.59,28.65,4.34,3.41,-3.08,Mutual Funds
27,70545,53800,32300,1,2343.3,28.04,3.72,2.46,0.63,ETFs
49,87180,7500,2900,0,10372.22,26.38,3.61,3.99,1.06,Bonds
48,92958,51500,29900,2,12854.73,27.71,2.96,4.59,-0.45,Stocks
23,145937,6800,4300,2,11633.05,38.04,3.65,3.24,-3.35,Real Estate
40,138291,45000,22500,1,16405.38,10.26,4.71,5.37,-1.67,Mutual Funds
24,44809,30200,19300,1,13869.18,11.43,3.5,3.59,-0.17,Index Funds
23,121748,54900,35100,0,12893.04,15.74,1.69,1.72,-0.59,Gold
29,10287,49500,36600,0,14290.17,15.02,3.07,4.11,0.66,Gold
31,170459,24600,18900,1,8963.4,15.44,2.49,3.31,0.89,ETFs
47,13512,12900,7100,0,4435.66,30.16,3.0,5.68,-0.65,Bonds
36,137414,55700,32300,1,17318.71,23.78,2.83,2.96,-2.1,Index Funds
23,199148,6500,4600,1,6287.26,39.75,4.36,3.01,2.18,ETFs
22,113872,30300,22700,1,4186.39,16.81,3.43,4.25,0.84,Index Funds
47,155288,6600,3000,1,12406.28,19.32,1.35,3.63,1.01,Index Funds
28,98070,1300,600,1,11020.34,39.53,0.78,2.87,0.58,ETFs
19,84767,3800,1800,1,6085.89,34.95,2.41,5.95,1.65,Index Funds
36,102829,85800,46300,0,15766.7,24.09,0.57,2.51,-0.57,Gold
19,162686,16500,8600,0,13710.09,26.64,1.93,2.39,1.24,Fixed Deposit
21,172330,73100,30000,1,9050.75,35.3,2.16,5.32,1.0,Mutual Funds
